email,isactive
sollicitudin.commodo@icloud.ca,No
senectus.et@protonmail.org,Yes
lacus.varius.et@icloud.ca,Yes
diam@hotmail.net,Yes
augue@outlook.net,No
non.cursus@outlook.net,Yes
massa.integer.vitae@google.couk,No
ullamcorper.duis@hotmail.edu,Yes
sem.eget@google.org,No
orci.lacus@hotmail.ca,No
et.magnis.dis@google.edu,Yes
mollis.phasellus@protonmail.ca,No
eget.laoreet@hotmail.com,No
pellentesque.ut@google.edu,No
proin@hotmail.ca,Yes
semper@outlook.couk,Yes
nam@outlook.com,Yes
sed.pede@aol.com,Yes
dui.semper@outlook.ca,No
ac.fermentum@yahoo.com,Yes
ut@outlook.net,No
sagittis.duis@icloud.edu,No
non@hotmail.com,Yes
ut.odio@protonmail.org,No
eu.tellus.eu@aol.org,No
donec.est@google.couk,Yes
bibendum.sed@icloud.net,No
egestas.sed.pharetra@icloud.com,No
at@hotmail.ca,Yes
pellentesque.a.facilisis@outlook.ca,Yes
egestas@protonmail.org,No
imperdiet.nec.leo@hotmail.edu,No
a.tortor@icloud.com,No
hymenaeos.mauris@protonmail.com,No
et.risus@aol.net,No
pharetra.felis@outlook.com,Yes
lobortis.risus.in@hotmail.net,Yes
euismod.urna@icloud.com,Yes
ultrices.mauris@google.couk,Yes
cursus.in@hotmail.edu,No
mauris.a.nunc@google.ca,No
purus.gravida.sagittis@yahoo.net,No
vulputate.velit.eu@icloud.couk,Yes
et.rutrum.eu@yahoo.edu,No
ipsum.sodales@outlook.couk,No
a.malesuada.id@hotmail.com,No
suscipit.est.ac@outlook.com,No
nisi.dictum.augue@yahoo.ca,No
eu.neque.pellentesque@google.edu,No
aliquam.vulputate@icloud.couk,Yes
lacus.mauris@protonmail.org,Yes
sit@yahoo.couk,Yes
vitae@protonmail.couk,No
ut.tincidunt@protonmail.net,Yes
et.ultrices@icloud.ca,No
lobortis.mauris@yahoo.couk,Yes
lacinia.orci@icloud.net,No
consectetuer.mauris@outlook.couk,No
sit@icloud.edu,No
ut.sagittis@icloud.net,No
ac.libero@google.ca,No
enim.consequat@yahoo.com,Yes
sociis.natoque@outlook.com,No
quam@protonmail.org,No
ante.dictum@aol.couk,Yes
amet.diam.eu@protonmail.ca,No
natoque@yahoo.couk,Yes
arcu.curabitur@google.com,Yes
velit.sed@icloud.org,No
lacinia.vitae@yahoo.net,Yes
aliquam.enim@outlook.net,No
vel.quam@yahoo.net,No
nunc.in@outlook.edu,Yes
ultricies.sem@icloud.org,No
dapibus.id.blandit@hotmail.ca,No
enim.mauris@google.couk,No
dictum.phasellus@icloud.net,No
orci.lobortis@hotmail.org,No
nulla@aol.edu,Yes
lacus.etiam.bibendum@google.edu,Yes
lacus.etiam.bibendum@icloud.net,Yes
consectetuer.rhoncus@google.net,Yes
et@yahoo.net,No
massa.integer@aol.edu,No
lorem.fringilla@outlook.net,Yes
a.purus@icloud.com,No
aliquet.proin@aol.ca,No
nunc.lectus@google.edu,No
pellentesque.ut.ipsum@outlook.net,No
nulla.in@protonmail.couk,Yes
tortor.integer.aliquam@outlook.com,Yes
ultrices.posuere@hotmail.org,Yes
adipiscing.ligula@hotmail.org,No
mi.lorem.vehicula@yahoo.org,No
mi.duis@icloud.edu,Yes
nam.porttitor.scelerisque@protonmail.edu,No
cursus@protonmail.net,No
nisl.arcu.iaculis@outlook.org,No
consequat.purus.maecenas@yahoo.edu,No
sed@hotmail.ca,No
urna.convallis@aol.org,Yes
fringilla.euismod@outlook.couk,Yes
odio.vel@protonmail.ca,No
sociosqu.ad.litora@yahoo.ca,No
placerat.augue.sed@protonmail.couk,No
justo.praesent@protonmail.edu,No
mi.aliquam@google.com,No
aenean.eget@yahoo.ca,No
aliquam@protonmail.net,Yes
mi.fringilla@protonmail.couk,Yes
est.mollis@yahoo.edu,Yes
suspendisse.aliquet@outlook.org,Yes
egestas.sed@yahoo.edu,No
sed.nec@protonmail.net,Yes
mauris.ut.mi@yahoo.ca,No
rutrum.lorem@icloud.ca,No
viverra.donec.tempus@hotmail.com,Yes
a.odio@yahoo.edu,No
libero.est@outlook.couk,No
mollis.integer.tincidunt@google.com,Yes
nonummy@yahoo.ca,Yes
nec@google.com,No
faucibus.orci.luctus@icloud.com,No
habitant.morbi@yahoo.org,No
aliquam.arcu@outlook.edu,Yes
ultrices.duis@yahoo.edu,No
posuere.enim@yahoo.edu,No
risus.nulla.eget@google.com,Yes
dignissim.lacus@google.couk,Yes
ut.dolor@yahoo.ca,Yes
orci@aol.com,No
montes.nascetur@outlook.net,Yes
odio.sagittis@google.com,Yes
elementum.purus.accumsan@hotmail.net,No
quam.a@hotmail.net,Yes
est.arcu@yahoo.net,Yes
integer@hotmail.ca,No
cubilia@outlook.ca,No
nunc.sed@outlook.couk,No
nisi.aenean.eget@protonmail.edu,Yes
nibh.enim@outlook.net,Yes
et.netus@aol.com,No
elit.pede.malesuada@icloud.com,Yes
scelerisque.dui@yahoo.couk,No
lacus.mauris@aol.com,Yes
molestie.sed.id@icloud.couk,Yes
enim.sit@protonmail.com,No
ullamcorper.magna@yahoo.edu,Yes
tellus.nunc.lectus@aol.org,Yes
massa.quisque.porttitor@yahoo.edu,No
magna.sed.dui@hotmail.edu,Yes
sed.eu.nibh@protonmail.org,No
proin@hotmail.net,No
consequat.lectus.sit@hotmail.edu,No
eu.ligula.aenean@aol.couk,No
odio@protonmail.com,No
ipsum.dolor@google.couk,Yes
vestibulum.lorem.sit@yahoo.ca,Yes
arcu.sed@protonmail.com,No
lobortis.class.aptent@outlook.couk,Yes
integer.vulputate@google.com,No
pharetra.felis.eget@outlook.edu,Yes
massa.rutrum.magna@hotmail.ca,Yes
pede.sagittis.augue@yahoo.org,No
metus.vitae.velit@protonmail.edu,Yes
ante@icloud.com,No
lacus@google.com,No
erat.semper@yahoo.org,Yes
eget.volutpat@icloud.net,No
phasellus.dapibus@icloud.com,No
blandit@protonmail.ca,No
lorem.auctor@icloud.org,No
